volume,vwap,open,close,high,low,timestamp,trades
427.0,255.1964,255.23,255.14,255.23,255.14,2025-10-01 13:04:00,29
2473.0,255.2918,255.23,255.26,255.37,255.23,2025-10-01 13:05:00,79
269.0,255.3263,255.2514,255.2514,255.2514,255.2514,2025-10-01 13:06:00,17
4960.0,255.4042,255.4,255.41,255.41,255.35,2025-10-01 13:07:00,35
1806.0,255.3234,255.4,255.25,255.4,255.25,2025-10-01 13:08:00,61
1531.0,255.2817,255.26,255.3643,255.3643,255.25,2025-10-01 13:09:00,40
952.0,255.267,255.2502,255.2613,255.2613,255.2502,2025-10-01 13:10:00,28
2321.0,255.2428,255.2613,255.2166,255.2613,255.2,2025-10-01 13:11:00,56
507.0,255.2318,255.3018,255.21,255.3018,255.21,2025-10-01 13:12:00,28
3721.0,255.1908,255.2498,255.11,255.2499,255.1,2025-10-01 13:13:00,58
2122.0,255.1929,255.12,255.21,255.25,255.0627,2025-10-01 13:14:00,48
2140.0,255.2554,255.2215,255.3,255.3,255.2215,2025-10-01 13:15:00,29
3235.0,255.1138,255.1,255.17,255.17,255.1,2025-10-01 13:16:00,52
4494.0,255.1033,255.1001,255.1,255.14,255.1,2025-10-01 13:18:00,96
1405.0,255.099,255.1,255.1,255.1,255.1,2025-10-01 13:19:00,32
3008.0,255.0003,255.09,254.9,255.09,254.9,2025-10-01 13:20:00,96
3730.0,254.9442,254.97,254.9,255.01,254.9,2025-10-01 13:21:00,90
10380.0,254.9471,254.87,255.01,255.02,254.8696,2025-10-01 13:22:00,134
16303.0,254.9983,255.0,254.99,255.01,254.92,2025-10-01 13:23:00,134
6342.0,254.9866,255.0,254.9997,255.0,254.92,2025-10-01 13:24:00,97
14921.0,254.5942,254.57,254.5394,254.9,254.5,2025-10-01 13:25:00,172
8863.0,254.5589,254.6499,254.5491,254.88,254.5,2025-10-01 13:26:00,100
6793.0,254.4916,254.5,254.37,254.63,254.32,2025-10-01 13:27:00,114
32204.0,254.7599,254.66,255.15,255.15,254.66,2025-10-01 13:28:00,154
5306.0,255.0862,255.03,255.05,255.12,254.97,2025-10-01 13:29:00,101
1017374.0,255.1457,255.04,255.21,255.77,254.93,2025-10-01 13:30:00,15281
526671.0,255.8272,255.17,256.06,256.31,255.05,2025-10-01 13:31:00,6404
511712.0,256.2852,256.06,255.91,256.5599,255.83,2025-10-01 13:32:00,5936
277832.0,256.1823,255.915,256.295,256.5,255.85,2025-10-01 13:33:00,4027
302836.0,256.5743,256.295,256.5175,256.8,256.295,2025-10-01 13:34:00,4438
577960.0,256.958,256.49,257.4232,257.4287,256.4,2025-10-01 13:35:00,7031
852629.0,257.9765,257.43,258.44,258.53,257.4,2025-10-01 13:36:00,11387
643277.0,258.5076,258.4167,258.53,258.79,258.24,2025-10-01 13:37:00,8545
402714.0,258.5846,258.53,258.435,258.77,258.41,2025-10-01 13:38:00,5470
371983.0,258.2554,258.445,258.05,258.64,257.9,2025-10-01 13:39:00,5267
255883.0,258.2522,258.04,258.09,258.44,258.01,2025-10-01 13:40:00,3797
277225.0,257.8291,258.08,257.8,258.08,257.6709,2025-10-01 13:41:00,3837
165774.0,257.863,257.81,258.125,258.1481,257.62,2025-10-01 13:42:00,2648
234188.0,257.7559,258.15,257.58,258.25,257.49,2025-10-01 13:43:00,3620
138580.0,257.5078,257.6,257.67,257.68,257.36,2025-10-01 13:44:00,2168
345401.0,257.1442,257.65,257.0417,257.6791,256.92,2025-10-01 13:45:00,3926
204037.0,256.8049,257.04,256.68,257.0599,256.66,2025-10-01 13:46:00,3278
202181.0,256.5306,256.66,256.3399,256.72,256.28,2025-10-01 13:47:00,2905
285810.0,256.2268,256.33,255.85,256.5725,255.85,2025-10-01 13:48:00,3758
254561.0,255.7576,255.8403,255.45,255.95,255.43,2025-10-01 13:49:00,3320
263264.0,255.5596,255.43,255.675,255.8,255.26,2025-10-01 13:50:00,2976
169864.0,255.7544,255.69,255.84,255.89,255.5601,2025-10-01 13:51:00,2406
138295.0,255.8365,255.84,255.82,255.9488,255.73,2025-10-01 13:52:00,2146
197640.0,255.9583,255.83,256.15,256.17,255.78,2025-10-01 13:53:00,2747
153080.0,256.1867,256.1598,256.25,256.3,256.02,2025-10-01 13:54:00,2252
133654.0,256.108,256.24,255.95,256.24,255.95,2025-10-01 13:55:00,2149
186250.0,256.1511,255.94,256.41,256.45,255.865,2025-10-01 13:56:00,2214
155057.0,256.3911,256.44,256.33,256.4841,256.31,2025-10-01 13:57:00,2210
127046.0,256.3342,256.335,256.35,256.4,256.24,2025-10-01 13:58:00,1754
